song_id	genius_url	artist_name	song_name
0	Kendrick-lamar-swimming-pools-drank-lyrics	Kendrick lamar	swimming pools drank
1	Kendrick-lamar-money-trees-lyrics	Kendrick lamar	money trees
2	Kendrick-lamar-xxx-lyrics	Kendrick lamar	xxx
4	Kendrick-lamar-dna-lyrics	Kendrick lamar	dna
5	Kendrick-lamar-poetic-justice-lyrics	Kendrick lamar	poetic justice
6	Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics	Kendrick lamar	bitch dont kill my vibe
7	Kendrick-lamar-king-kunta-lyrics	Kendrick lamar	king kunta
8	Kendrick-lamar-element-lyrics	Kendrick lamar	element
9	Kendrick-lamar-the-blacker-the-berry-lyrics	Kendrick lamar	the blacker the berry
10	Kendrick-lamar-loyalty-lyrics	Kendrick lamar	loyalty
11	Kendrick-lamar-alright-lyrics	Kendrick lamar	alright
12	Kendrick-lamar-backseat-freestyle-lyrics	Kendrick lamar	backseat freestyle
13	Kendrick-lamar-love-lyrics	Kendrick lamar	love
16	Lil-wayne-mona-lisa-lyrics	Lil wayne	mona lisa
17	Kanye-west-all-day-lyrics	Kanye west	all day
18	Kendrick-lamar-the-heart-part-4-lyrics	Kendrick lamar	the heart part 4
20	Kendrick-lamar-mortal-man-lyrics	Kendrick lamar	mortal man
21	Kendrick-lamar-the-art-of-peer-pressure-lyrics	Kendrick lamar	the art of peer pressure
22	Kendrick-lamar-wesleys-theory-lyrics	Kendrick lamar	wesleys theory
23	Kendrick-lamar-duckworth-lyrics	Kendrick lamar	duckworth
24	Kendrick-lamar-black-friday-lyrics	Kendrick lamar	black friday
25	Sia-the-greatest-lyrics	Sia	the greatest
26	The-weeknd-sidewalks-lyrics	The weeknd	sidewalks
27	Kendrick-lamar-the-recipe-lyrics	Kendrick lamar	the recipe
28	Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics	Kendrick lamar	sherane aka master splinters daughter
29	Kendrick-lamar-hood-politics-lyrics	Kendrick lamar	hood politics
30	Kendrick-lamar-lust-lyrics	Kendrick lamar	lust
31	Kendrick-lamar-feel-lyrics	Kendrick lamar	feel
32	Kendrick-lamar-bitch-dont-kill-my-vibe-remix-lyrics	Kendrick lamar	bitch dont kill my vibe remix
33	J-cole-forbidden-fruit-lyrics	J cole	forbidden fruit
35	Kendrick-lamar-god-lyrics	Kendrick lamar	god
36	Kendrick-lamar-cartoon-and-cereal-lyrics	Kendrick lamar	cartoon and cereal
37	Taylor-swift-bad-blood-remix-lyrics	Taylor swift	bad blood remix
38	Kendrick-lamar-blood-lyrics	Kendrick lamar	blood
41	Chris-brown-autumn-leaves-lyrics	Chris brown	autumn leaves
43	Tech-n9ne-fragile-lyrics	Tech n9ne	fragile
44	Kendrick-lamar-institutionalized-lyrics	Kendrick lamar	institutionalized
